timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,nbpackets,txpower,txifdur,txpksize,txfillbyte
2017-01-18_16.18.06,05-43-32-ff-03-dd-a4-84,11,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,0,10,0,100,100,0x0a
2017-01-18_16.18.06,05-43-32-ff-03-dd-a4-84,11,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,1,10,0,100,100,0x0a
2017-01-18_16.18.06,05-43-32-ff-03-dd-a4-84,11,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,2,10,0,100,100,0x0a
2017-01-18_16.18.06,05-43-32-ff-03-dd-a4-84,11,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,3,10,0,100,100,0x0a
2017-01-18_16.18.06,05-43-32-ff-03-dd-a4-84,11,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,4,10,0,100,100,0x0a
2017-01-18_16.18.06,05-43-32-ff-03-dd-a4-84,11,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,5,10,0,100,100,0x0a
2017-01-18_16.18.06,05-43-32-ff-03-dd-a4-84,11,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,6,10,0,100,100,0x0a
2017-01-18_16.18.07,05-43-32-ff-03-dd-a4-84,11,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,7,10,0,100,100,0x0a
2017-01-18_16.18.07,05-43-32-ff-03-dd-a4-84,11,100,-36,1,1,05-43-32-ff-03-dd-a6-85,0,8,10,0,100,100,0x0a
2017-01-18_16.18.07,05-43-32-ff-03-dd-a4-84,11,100,-37,1,1,05-43-32-ff-03-dd-a6-85,0,9,10,0,100,100,0x0a
2017-01-18_16.18.07,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,0,10,0,100,100,0x0a
2017-01-18_16.18.07,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,1,10,0,100,100,0x0a
2017-01-18_16.18.07,05-43-32-ff-03-dd-a6-85,11,100,-37,1,1,05-43-32-ff-03-dd-a4-84,0,2,10,0,100,100,0x0a
